date,age,total
2022-03-30,68,3
2022-03-27,193,1
2022-03-29,148,3
2022-03-30,164,2
2022-03-27,14,4
2022-03-28,119,1
2022-03-30,3,1
2022-03-27,216,7
2022-03-29,534,1
2022-03-31,327,1
2022-03-29,52,5
2022-03-30,127,4
2022-03-27,39,2
2022-03-30,161,1
2022-03-28,9,1
2022-03-31,109,1
2022-03-27,164,1
2022-03-29,417,1
2022-03-30,232,2
2022-03-30,31,10
2022-03-31,310,8
2022-03-27,25,12
2022-03-28,190,6
2022-03-29,249,1
2022-03-30,502,14
2022-03-30,212,2
2022-03-31,105,5
2022-03-29,145,7
2022-03-30,19,3
2022-03-31,12,1
2022-03-30,43,2
2022-03-29,28,1
2022-03-29,525,5
2022-03-27,52,1
2022-03-28,268,3
2022-03-28,42,6
2022-03-29,291,1
2022-03-28,393,1
2022-03-29,524,4
2022-03-28,556,1
2022-03-29,11,2
2022-03-29,287,1
2022-03-30,143,1
2022-03-29,532,1
2022-03-27,24,81
2022-03-30,22,6
2022-03-31,33,12
2022-03-29,146,5
2022-03-30,9,2
2022-03-31,4,4
2022-03-27,47,2
2022-03-30,116,11
2022-03-31,85,1
2022-03-29,13,1
2022-03-29,248,2
2022-03-28,55,7
2022-03-31,55,1
2022-03-28,76,5
2022-03-31,131,1
2022-03-27,334,2
2022-03-30,32,3
2022-03-28,69,1
2022-03-29,16,2
2022-03-28,56,3
2022-03-28,34,2
2022-03-29,37,1
